---------- Learnt Vocabulary ----------

(1903, 802) -> 7012
(1212, 497) -> 7011
(2938, 273) -> 7006
(7003, 607) -> 7004
(6409, 2483) -> 7002
(2544, 273) -> 7000
(424, 1406) -> 6999
(83, 1721) -> 6998
(5117, 2034) -> 6997
(119, 3467) -> 6994
(297, 5049) -> 6990
(303, 2552) -> 6989
(82, 670) -> 6982
(3391, 4079) -> 6981
(2444, 2886) -> 6980
(1385, 6256) -> 6979
(1126, 2131) -> 6975
(403, 882) -> 6974
(2906, 463) -> 6972
(39, 84) -> 6970
(6967, 122) -> 6968
(3186, 369) -> 6967
(6791, 356) -> 6964
(396, 1265) -> 6963
(277, 1001) -> 6948
(1746, 265) -> 6943
(2588, 1513) -> 6942
(586, 6223) -> 6941
(386, 262) -> 6938
(3018, 742) -> 6936
(107, 311) -> 6934
(326, 401) -> 6931
(414, 6928) -> 6929
(360, 680) -> 6927
(521, 1609) -> 6925
(433, 5897) -> 6924
(826, 456) -> 6921
(748, 6063) -> 6920
(1347, 1521) -> 6918
(399, 1599) -> 6917
(720, 1350) -> 6916
(306, 1533) -> 6914
(2100, 45) -> 6912
(1491, 971) -> 6909
(666, 1335) -> 6908
(268, 2988) -> 6907
(797, 267) -> 6905
(413, 2585) -> 6903
(2480, 1676) -> 6902
(4298, 350) -> 6900
(283, 1643) -> 6899
(5971, 569) -> 6897
(110, 308) -> 6896
(586, 1668) -> 6895
(5995, 1306) -> 6894
(473, 455) -> 6891
(1131, 1710) -> 6890
(267, 3244) -> 6889
(271, 6887) -> 6888
(1142, 447) -> 6885
(1698, 893) -> 6884
(33, 2534) -> 6882
(2152, 844) -> 6880
(2021, 2183) -> 6879
(6220, 920) -> 6877
(3237, 325) -> 6876
(278, 3722) -> 6873
(2152, 1929) -> 6872
(347, 115) -> 6870
(989, 385) -> 6869
(514, 1339) -> 6867
(3069, 5828) -> 6863
(433, 4269) -> 6862
(796, 99) -> 6859
(3457, 273) -> 6857
(1470, 2571) -> 6855
(1853, 1032) -> 6854
(1481, 872) -> 6852
(1412, 1002) -> 6849
(377, 271) -> 6848
(790, 515) -> 6846
(3049, 2566) -> 6844
